0,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
261,17,https://www.twoinchbrush.com/images/painting17.png,Valley_View,21,1,13,https://www.youtube.com/embed/pw5ETGiiBRg,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
262,18,https://www.twoinchbrush.com/images/painting18.png,Tranquil_Dawn,21,2,10,https://www.youtube.com/embed/4abDq6Q-mlM,"['Alizarin_Crimson','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Liquid_Clear','Midnight_Black\r\n\r\n','Phthalo_Blue','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#FFEC00','#5F2E1F','#FFB800','#FFFFFF','#000000','#0C0040','#FFFFFF','#221B15','#C79B00']",0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1
263,19,https://www.twoinchbrush.com/images/painting19.png,Royal_Majesty,21,3,14,https://www.youtube.com/embed/ubUXBqE6t0U,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Liquid_Clear','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#FFFFFF','#000000','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
264,20,https://www.twoinchbrush.com/images/painting20.png,Serenity,21,4,12,https://www.youtube.com/embed/crqmO3qDdco,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
265,21,https://www.twoinchbrush.com/images/painting21.png,Cabin_at_Trails_End,21,5,13,https://www.youtube.com/embed/GLkLO4KqTRs,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Liquid_Clear','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#FFFFFF','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
266,22,https://www.twoinchbrush.com/images/painting22.png,Mountain_Rhapsody,21,6,8,https://www.youtube.com/embed/H4VsmKU5T7g,"['Alizarin_Crimson','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#5F2E1F','#FFB800','#000000','#0C0040','#FFFFFF','#221B15','#C79B00']",0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1
267,23,https://www.twoinchbrush.com/images/painting23.png,Wilderness_Cabin,21,7,14,https://www.youtube.com/embed/GWehiacnd1E,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Liquid_Clear','Midnight_Black\r\n\r\n','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#FFFFFF','#000000','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
268,24,https://www.twoinchbrush.com/images/painting24.png,By_the_Sea,21,8,13,https://www.youtube.com/embed/8tHHBTK6wwc,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Phthalo_Green\r\n','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#102E3C','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1
269,25,https://www.twoinchbrush.com/images/painting25.png,Indian_Summer,21,9,13,https://www.youtube.com/embed/pfWV8NkotvU,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
270,27,https://www.twoinchbrush.com/images/painting27.png,Blue_Winter,21,10,3,https://www.youtube.com/embed/liR0gS0sZY0,"['Midnight_Black\r\n\r\n','Prussian_Blue','Titanium_White']","['#000000','#021E44','#FFFFFF']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
