painting_id,img_src,painting_title,season,episode,num_colors,youtube_src
215,https://www.twoinchbrush.com/images/painting215.png,Dock_Scene,7,12,9,https://www.youtube.com/embed/4KYxkqlzyqM
216,https://www.twoinchbrush.com/images/painting216.png,Dark_Waterfall,7,13,11,https://www.youtube.com/embed/VqMbL00eZqw
190,https://www.twoinchbrush.com/images/painting190.png,Misty_Rolling_Hills,8,1,10,https://www.youtube.com/embed/cC5ozePVKGI
191,https://www.twoinchbrush.com/images/painting191.png,Lakeside_Cabin,8,2,12,https://www.youtube.com/embed/CP6_5cQVZvQ
192,https://www.twoinchbrush.com/images/painting192.png,Warm_Winter_Day,8,3,10,https://www.youtube.com/embed/mUJoNLWQ1yI
193,https://www.twoinchbrush.com/images/painting193.png,Waterside_Way,8,4,11,https://www.youtube.com/embed/uj5FE70BcB0
194,https://www.twoinchbrush.com/images/painting194.png,Hunter's_Haven,8,5,11,https://www.youtube.com/embed/Da4SPyh1ATM
195,https://www.twoinchbrush.com/images/painting195.png,Bubbling_Mountain_Brook,8,6,11,https://www.youtube.com/embed/U2_SKgM3f4A
196,https://www.twoinchbrush.com/images/painting196.png,Winter_Hideaway,8,7,10,https://www.youtube.com/embed/19oz9XHZNzA
197,https://www.twoinchbrush.com/images/painting197.png,Foot_of_the_Mountain,8,8,13,https://www.youtube.com/embed/cIUBUc_ITBc
198,https://www.twoinchbrush.com/images/painting198.png,Majestic_Pine,8,9,11,https://www.youtube.com/embed/x5CoQj9zr-c
199,https://www.twoinchbrush.com/images/painting199.png,Cactus_at_Sunset,8,10,10,https://www.youtube.com/embed/XBqD3QhKU24
200,https://www.twoinchbrush.com/images/painting200.png,Mountain_Range,8,11,10,https://www.youtube.com/embed/V_l6olF3yHI
201,https://www.twoinchbrush.com/images/painting201.png,Lonely_Retreat,8,12,10,https://www.youtube.com/embed/qTDQt_PdlYc
202,https://www.twoinchbrush.com/images/painting202.png,Northern_Lights,8,13,9,https://www.youtube.com/embed/vgbMONXc9Cs
177,https://www.twoinchbrush.com/images/painting177.png,Winter_Evergreens,9,1,9,https://www.youtube.com/embed/O6L5YPt9CeU
178,https://www.twoinchbrush.com/images/painting178.png,Surf's_Up,9,2,11,https://www.youtube.com/embed/ZKxFvyyOBPQ
179,https://www.twoinchbrush.com/images/painting179.png,Red_Sunset,9,3,11,https://www.youtube.com/embed/e5JhYi_G-l0
180,https://www.twoinchbrush.com/images/painting180.png,Meadow_Road,9,4,11,https://www.youtube.com/embed/u5VT_WGM0kg
181,https://www.twoinchbrush.com/images/painting181.png,Winter_Oval,9,5,7,https://www.youtube.com/embed/pYWiLm_-sXw
182,https://www.twoinchbrush.com/images/painting182.png,Secluded_Beach,9,6,11,https://www.youtube.com/embed/WGUcw_kFvzU
183,https://www.twoinchbrush.com/images/painting183.png,Forest_Hills,9,7,11,https://www.youtube.com/embed/E3XW_Zp238U
184,https://www.twoinchbrush.com/images/painting184.png,Little_House_by_the_Road,9,8,11,https://www.youtube.com/embed/3CDg_9gL-5M
185,https://www.twoinchbrush.com/images/painting185.png,Mountain_Path,9,9,11,https://www.youtube.com/embed/e0VUprkc1n0
186,https://www.twoinchbrush.com/images/painting186.png,Country_Charm,9,10,11,https://www.youtube.com/embed/9wp8NRzCJnw
187,https://www.twoinchbrush.com/images/painting187.png,Nature's_Paradise,9,11,11,https://www.youtube.com/embed/7yU55PUls2c
188,https://www.twoinchbrush.com/images/painting188.png,Mountain_by_the_Sea,9,12,13,https://www.youtube.com/embed/so--opB-yuQ
189,https://www.twoinchbrush.com/images/painting189.png,Mountain_Hideaway,9,13,12,https://www.youtube.com/embed/q48EWPrbzVs
163,https://www.twoinchbrush.com/images/painting163.png,Towering_Peaks,10,1,13,https://www.youtube.com/embed/1s58rW0_LN4
164,https://www.twoinchbrush.com/images/painting164.png,Cabin_at_Sunset,10,2,12,https://www.youtube.com/embed/a6Wil3OXNuI
165,https://www.twoinchbrush.com/images/painting165.png,Twin_Falls,10,3,12,https://www.youtube.com/embed/cMwkY8ojRik
