episode,title,painting_id,img_src,num_colors,youtube_src,colors,color_hex,black_gesso,bright_red,burnt_umber,cadmium_yellow,dark_sienna,indian_red,indian_yellow,liquid_black,liquid_clear,midnight_black,phthalo_blue,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,yellow_ochre,alizarin_crimson
S03E08,Night Light,263,https://www.twoinchbrush.com/images/painting263.png,9,https://www.youtube.com/embed/l141Y0x8om0,"['Alizarin_Crimson','Black_Gesso','Burnt_Umber','Cadmium_Yellow','Phthalo_Green\r\n','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#8A3324','#FFEC00','#102E3C','#0A3410','#FFFFFF','#221B15','#C79B00']",1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,
S03E09,The Old Mill,264,https://www.twoinchbrush.com/images/painting264.png,10,https://www.youtube.com/embed/OFKFUJ9eDNs,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,
S03E10,Campfire,265,https://www.twoinchbrush.com/images/painting265.png,8,https://www.youtube.com/embed/L5bXkI0-pEg,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#8A3324','#FFEC00','#FFB800','#221B15','#C79B00']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,
S03E11,Rustic Barn,266,https://www.twoinchbrush.com/images/painting266.png,12,https://www.youtube.com/embed/WJJwrnFhUUg,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S03E12,Hidden Lake,267,https://www.twoinchbrush.com/images/painting267.png,10,https://www.youtube.com/embed/P_DaqkFbnac,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,
S03E13,Peaceful Waters,268,https://www.twoinchbrush.com/images/painting268.png,9,https://www.youtube.com/embed/Z0vtjRLqXcQ,"['Alizarin_Crimson','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#FFEC00','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
S04E01,Purple Splendor,243,https://www.twoinchbrush.com/images/painting243.png,4,https://www.youtube.com/embed/hP4GfMgsNVE,"['Alizarin_Crimson','Phthalo_Blue','Titanium_White','Van_Dyke_Brown']","['#4E1500','#0C0040','#FFFFFF','#221B15']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,
S04E02,Tranquil Valley,244,https://www.twoinchbrush.com/images/painting244.png,10,https://www.youtube.com/embed/PbchoOWWCZs,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,
S04E03,Majestic Mountains,245,https://www.twoinchbrush.com/images/painting245.png,12,https://www.youtube.com/embed/NcVeRlPu_5w,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S04E04,Winter Sawscape,246,https://www.twoinchbrush.com/images/painting246.png,7,https://www.youtube.com/embed/lmKAwKrONmE,"['Black_Gesso','Bright_Red','Burnt_Umber','Cadmium_Yellow','Midnight_Black\r\n\r\n','Prussian_Blue','Titanium_White']","['#000000','#DB0000','#8A3324','#FFEC00','#000000','#021E44','#FFFFFF']",1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,
S04E05,Evening Seascape,247,https://www.twoinchbrush.com/images/painting247.png,10,https://www.youtube.com/embed/y5k4GXw_-yI,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Titanium_White','Van_Dyke_Brown']","['#4E1500','#000000','#DB0000','#8A3324','#FFEC00','#0C0040','#102E3C','#021E44','#FFFFFF','#221B15']",1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,
S04E06,Warm Summer Day,248,https://www.twoinchbrush.com/images/painting248.png,11,https://www.youtube.com/embed/GBN9AIw3Ao4,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,
S04E07,Cabin In The Woods,249,https://www.twoinchbrush.com/images/painting249.png,11,https://www.youtube.com/embed/81QKellPA70,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,
S04E08,Wetlands,250,https://www.twoinchbrush.com/images/painting250.png,10,https://www.youtube.com/embed/2FpVyGanPwM,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,
